0.221267 B F 0.973490
1.379235 K D 2.095500
1.670436 D E 1.856995
2.286279 F L 39.597595
2.487471 O H 6.599911
2.634504 E M 22.582966
2.969071 E L 78.951246
3.028302 C F 13.985490
3.880679 L J 4.445176
4.062891 G D 11.186109
4.328618 C J 25.851488
4.874311 B J 58.560012
4.955168 B D 2.841151
4.982377 J G 62.569624
5.040193 N H 19.594819
5.149913 J L 23.084796
5.309516 F H 39.292058
6.111675 O P 8.645842
6.591907 G P 5.491474
6.875542 C A 64.875251
6.976790 L D 46.363162
7.055569 L A 15.610943
7.324502 I N 22.607890
7.570182 N J 7.353057
8.099868 K H 10.488216
8.127769 H K 23.356501
8.475866 G J 65.195727
9.295036 D C 8.804528
9.967555 C J 74.981623
10.051892 F P 62.768228
10.459440 G A 4.220999
11.188623 O A 177.341214
11.817058 F D 53.137825
11.881859 C L 151.700705
11.882437 F I 7.017592
11.926134 A M 63.005492
12.745373 H B 8.786064
13.101694 I L 38.190694
13.113496 G B 11.882324
13.169720 I O 9.499596
13.408893 H F 5.692215
14.037209 I P 5.699321
14.301937 P E 50.089486
14.481267 I D 1.034218
15.036903 K M 0.915532
15.196962 P O 3.648504
15.531378 N F 26.478164
15.585050 D M 13.246798
15.676749 P D 7.238902
15.754465 C N 0.305440
15.959984 I O 154.326435
16.004482 A H 40.240922
16.366652 E H 9.049958
16.722672 K G 24.054466
16.983217 H P 5.048041
17.419424 E B 16.221832
17.463702 B G 75.160415
18.826927 P M 2.165089
19.131399 B I 22.386977
19.627933 C M 11.667845
20.039195 N H 15.084533
20.379571 I O 17.003343
20.427244 F A 10.493127
21.065070 D O 13.538995
21.805668 K N 12.086119
22.430972 H K 23.017207
23.078752 B F 31.459214
23.206018 F D 11.448343
23.931371 H J 30.722255
24.204636 E B 51.923844
24.364782 C E 83.328011
24.514477 D F 77.682145
25.691724 I C 26.224615
25.889850 A B 60.601165
25.949513 B K 15.765865
25.968796 A E 18.220047
26.224221 A I 84.495663
26.298345 L O 11.413981
26.577028 L H 64.092277
26.796524 E I 17.800320
26.829660 K E 5.126439
26.830382 P D 23.629029
26.845181 F H 3.518309
26.926565 N O 25.433937
27.097180 H O 13.438589
27.157403 D M 74.999932
27.410883 H L 10.512422
27.519403 A E 10.446685
27.651037 J O 1.842462
27.752111 F D 59.691141
27.852984 I C 14.347414
28.156561 E O 15.663161
28.453049 B L 54.434345
28.531318 E A 64.778966
28.687145 M K 83.854810
28.697751 N L 22.520209
29.079778 M P 48.982070
29.483652 I O 26.430902
30.532650 P I 55.172557
30.587915 K H 8.794331
